Distance(mm),Time(ms),Amptitude(mV)
0,0.391520,123.00
0,0.391560,124.00
0,0.391600,124.00
0,0.391640,123.00
0,0.391680,124.00
0,0.391720,124.00
0,0.391760,124.00
0,0.391800,124.00
0,0.391840,124.00
0,0.391880,124.00
0,0.391920,123.00
0,0.391960,124.00
0,0.392000,124.00
0,0.392040,124.00
0,0.392080,124.00
0,0.392120,124.00
0,0.392160,124.00
0,0.392200,123.00
0,0.392240,124.00
0,0.392280,124.00
0,0.392320,123.00
0,0.392360,124.00
0,0.392400,123.00
0,0.392440,123.00
0,0.392480,124.00
0,0.392520,124.00
0,0.392560,124.00
0,0.392600,124.00
0,0.392640,124.00
0,0.392680,124.00
0,0.392720,123.00
0,0.392760,123.00
0,0.392800,124.00
0,0.392840,124.00
0,0.392880,125.00
0,0.392920,125.00
0,0.392960,124.00
0,0.393000,124.00
0,0.393040,124.00
0,0.393080,124.00
0,0.393120,124.00
0,0.393160,124.00
0,0.393200,124.00
0,0.393240,124.00
0,0.393280,124.00
0,0.393320,124.00
0,0.393360,124.00
0,0.393400,124.00
0,0.393440,124.00
0,0.393480,124.00
0,0.393520,124.00
0,0.393560,124.00
0,0.393600,124.00
0,0.393640,124.00
0,0.393680,124.00
0,0.393720,124.00
0,0.393760,123.00
0,0.393800,123.00
0,0.393840,124.00
0,0.393880,124.00
0,0.393920,124.00
0,0.393960,125.00
0,0.394000,125.00
0,0.394040,124.00
0,0.394080,124.00
0,0.394120,124.00
0,0.394160,124.00
0,0.394200,124.00
0,0.394240,123.00
0,0.394280,124.00
0,0.394320,123.00
0,0.394360,124.00
0,0.394400,125.00
0,0.394440,125.00
0,0.394480,125.00
0,0.394520,124.00
0,0.394560,124.00
0,0.394600,124.00
0,0.394640,124.00
0,0.394680,124.00
0,0.394720,124.00
0,0.394760,124.00
0,0.394800,124.00
0,0.394840,124.00
0,0.394880,124.00
0,0.394920,124.00
0,0.394960,124.00
0,0.395000,124.00
0,0.395040,124.00
0,0.395080,124.00
0,0.395120,123.00
0,0.395160,123.00
0,0.395200,124.00
0,0.395240,124.00
0,0.395280,124.00
0,0.395320,124.00
0,0.395360,124.00
0,0.395400,124.00
