Time(ms),Amptitude(mV)
0.339120,106.00
0.339160,113.00
0.339200,124.00
0.339240,136.00
0.339280,145.00
0.339320,149.00
0.339360,146.00
0.339400,134.00
0.339440,120.00
0.339480,106.00
0.339520,97.00
0.339560,98.00
0.339600,106.00
0.339640,118.00
0.339680,132.00
0.339720,142.00
0.339760,146.00
0.339800,144.00
0.339840,136.00
0.339880,126.00
0.339920,115.00
0.339960,108.00
0.340000,107.00
0.340040,111.00
0.340080,119.00
0.340120,127.00
0.340160,133.00
0.340200,136.00
0.340240,135.00
0.340280,131.00
0.340320,125.00
0.340360,119.00
0.340400,116.00
0.340440,116.00
0.340480,118.00
0.340520,122.00
0.340560,126.00
0.340600,128.00
0.340640,129.00
0.340680,129.00
0.340720,127.00
0.340760,125.00
0.340800,122.00
0.340840,121.00
0.340880,122.00
0.340920,122.00
0.340960,123.00
0.341000,124.00
0.341040,126.00
0.341080,126.00
0.341120,126.00
0.341160,127.00
0.341200,126.00
0.341240,124.00
0.341280,123.00
0.341320,122.00
0.341360,122.00
0.341400,122.00
0.341440,123.00
0.341480,125.00
0.341520,126.00
0.341560,126.00
0.341600,127.00
0.341640,126.00
0.341680,123.00
0.341720,121.00
0.341760,121.00
0.341800,121.00
0.341840,122.00
0.341880,124.00
0.341920,125.00
0.341960,127.00
0.342000,127.00
0.342040,127.00
0.342080,126.00
0.342120,124.00
0.342160,122.00
0.342200,121.00
0.342240,120.00
0.342280,122.00
0.342320,123.00
0.342360,125.00
0.342400,127.00
0.342440,128.00
0.342480,127.00
0.342520,126.00
0.342560,125.00
0.342600,123.00
0.342640,122.00
0.342680,122.00
0.342720,122.00
0.342760,123.00
0.342800,124.00
0.342840,125.00
0.342880,126.00
0.342920,125.00
0.342960,125.00
0.343000,126.00
0.343040,125.00
0.343080,124.00
0.343120,123.00
0.343160,123.00
0.343200,123.00
0.343240,123.00
0.343280,124.00
0.343320,125.00
0.343360,126.00
0.343400,126.00
0.343440,125.00
0.343480,123.00
0.343520,123.00
0.343560,123.00
0.343600,123.00
0.343640,124.00
0.343680,124.00
0.343720,124.00
0.343760,125.00
0.343800,125.00
0.343840,124.00
0.343880,123.00
0.343920,123.00
0.343960,123.00
0.344000,123.00
0.344040,124.00
0.344080,124.00
0.344120,124.00
0.344160,125.00
0.344200,125.00
0.344240,124.00
0.344280,124.00
0.344320,124.00
0.344360,124.00
0.344400,123.00
0.344440,122.00
0.344480,123.00
0.344520,124.00
0.344560,125.00
0.344600,126.00
0.344640,126.00
0.344680,126.00
0.344720,125.00
0.344760,123.00
0.344800,122.00
0.344840,121.00
0.344880,121.00
0.344920,121.00
0.344960,123.00
0.345000,126.00
0.345040,128.00
0.345080,130.00
0.345120,130.00
0.345160,127.00
0.345200,123.00
0.345240,118.00
0.345280,115.00
0.345320,115.00
0.345360,118.00
0.345400,124.00
0.345440,130.00
0.345480,134.00
0.345520,136.00
0.345560,135.00
0.345600,129.00
0.345640,122.00
0.345680,116.00
0.345720,112.00
0.345760,111.00
0.345800,115.00
0.345840,121.00
0.345880,127.00
0.345920,132.00
0.345960,134.00
0.346000,133.00
0.346040,130.00
0.346080,124.00
0.346120,120.00
0.346160,117.00
0.346200,117.00
0.346240,119.00
0.346280,123.00
0.346320,126.00
0.346360,128.00
0.346400,128.00
0.346440,128.00
0.346480,126.00
0.346520,124.00
0.346560,123.00
0.346600,121.00
0.346640,121.00
0.346680,122.00
0.346720,123.00
0.346760,126.00
0.346800,127.00
0.346840,127.00
0.346880,126.00
0.346920,124.00
0.346960,124.00
0.347000,123.00
0.347040,122.00
0.347080,123.00
0.347120,123.00
0.347160,123.00
0.347200,124.00
0.347240,125.00
0.347280,126.00
0.347320,126.00
0.347360,126.00
0.347400,125.00
0.347440,123.00
0.347480,122.00
0.347520,122.00
0.347560,122.00
0.347600,122.00
0.347640,124.00
0.347680,126.00
0.347720,126.00
0.347760,128.00
0.347800,128.00
0.347840,126.00
0.347880,124.00
0.347920,122.00
0.347960,121.00
0.348000,121.00
0.348040,121.00
0.348080,123.00
0.348120,124.00
0.348160,127.00
0.348200,128.00
0.348240,128.00
0.348280,126.00
0.348320,124.00
